db_source,timestamp_utc,asset,leaf_id,direction,wr_reported,n_reported,open,high,low,close,rsi_5,stoch_k_v2,stoch_d_v2,bb_upper,bb_middle,bb_lower,bb_width_bps,ma6,ma14,ma_trend_bps,close_to_lower,close_to_upper,schaff_value,stc_zone,bb_position,stc_stoch_diff,stoch_kd_diff,exit_2m,pnl_2m,win_2m
trading_data.db,2026-04-25T06:27:00.000Z,USDJPY_otc,L41,PUT,0.760000,50,158.207000,158.223000,158.197000,158.211000,0,45.067402,72.792033,158.294465,158.223850,158.153235,8.925990,158.244833,158.233429,0.720756,3.650854,5.275136,2.981215,oversold,0.409014,-42.086186,-27.724632,158.185000,460,1
trading_data.db,2026-04-25T07:54:00.000Z,USDJPY_otc,L41,PUT,0.760000,50,158.140000,158.179000,158.134000,158.169000,1.204819,0.584795,18.418708,158.238494,158.152950,158.067406,10.817893,158.187833,158.172929,0.942308,6.423787,4.394106,98.498843,overbought,0.593811,97.914048,-17.833913,158.184000,-500,0
trading_data.db,2026-04-25T10:04:00.000Z,USDJPY_otc,L65,PUT,0.637800,323,158.060000,158.083000,158.048000,158.077000,53.030303,64.892603,37.110229,158.362192,158.165000,157.967808,24.935010,158.047500,158.137571,-5.695764,6.903695,18.031315,2.054774,oversold,0.276868,-62.837830,27.782375,158.032000,460,1
trading_data.db,2026-04-25T10:16:00.000Z,USDJPY_otc,L16,CALL,0.686000,86,157.898000,157.899000,157.860000,157.875000,0,4.553446,5.174194,158.133943,158.015800,157.897657,14.953353,157.945833,158.000214,-3.441828,-1.433825,16.387178,0.005100,oversold,-0.095887,-4.548346,-0.620749,157.837000,-500,0
trading_data.db,2026-04-25T10:20:00.000Z,USDJPY_otc,L16,CALL,0.686000,86,157.804000,157.804000,157.756000,157.763000,0,8.994868,7.768429,158.148985,157.964050,157.779115,23.414834,157.836833,157.929857,-5.890198,-1.020163,24.434996,,,-0.043569,,1.226439,157.803000,460,1
trading_data.db,2026-04-25T10:57:00.000Z,USDJPY_otc,L65,PUT,0.637800,323,157.604000,157.651000,157.603000,157.650000,73.076923,81.594882,51.390295,157.803989,157.658300,157.512611,18.481596,157.582167,157.625786,-2.767253,8.714343,9.767253,18.258640,oversold,0.471515,-63.336242,30.204587,157.650000,-500,0
trading_data.db,2026-04-25T15:17:00.000Z,USDJPY_otc,L16,CALL,0.686000,86,156.604000,156.611000,156.556000,156.556000,0,16.025732,17.299801,156.734379,156.654500,156.574621,10.198067,156.618667,156.638286,-1.252507,-1.188689,11.386756,,,-0.116560,,-1.274069,156.543000,-500,0
trading_data.db,2026-04-25T15:56:00.000Z,USDJPY_otc,L41,PUT,0.760000,50,157.068000,157.077000,157.046000,157.066000,12.820513,23.504274,54.663694,157.199286,157.005850,156.812414,24.640553,157.113000,157.057143,3.556485,16.151344,8.489209,99.999993,overbought,0.655478,76.495720,-31.159420,157.101000,-500,0
trading_data.db,2026-04-25T15:57:00.000Z,USDJPY_otc,L41,PUT,0.760000,50,157.066000,157.119000,157.066000,157.111000,0,0,25.693670,157.199777,157.015850,156.831923,23.427884,157.103000,157.067071,2.287467,17.773840,5.654044,99.999996,overbought,0.758662,99.999996,-25.693670,157.120000,-500,0
trading_data.db,2026-04-25T04:44:00.000Z,USDMXN_otc,L16,CALL,0.686000,86,17.535400,17.537300,17.516500,17.518600,0,8.470960,6.662864,17.585794,17.553095,17.520396,37.256782,17.540783,17.553329,-7.146928,-1.023414,38.280196,65.252358,neutral,-0.027469,56.781398,1.808096,17.534500,460,1
trading_data.db,2026-04-25T06:10:00.000Z,USDMXN_otc,L16,CALL,0.686000,86,17.521600,17.521600,17.503000,17.511900,0,8.262539,5.566471,17.646580,17.580740,17.514900,74.900077,17.535133,17.567671,-18.521575,-1.706447,76.606525,,,-0.022783,,2.696068,17.481100,-500,0
trading_data.db,2026-04-25T06:11:00.000Z,USDMXN_otc,L16,CALL,0.686000,86,17.511100,17.512000,17.486400,17.487000,0,6.426389,6.427205,17.648744,17.574025,17.499306,85.033593,17.523267,17.560014,-20.926873,-7.002309,92.035902,,,-0.082348,,-0.000816,17.481400,-500,0
trading_data.db,2026-04-25T06:12:00.000Z,USDMXN_otc,L16,CALL,0.686000,86,17.486300,17.490200,17.476100,17.481100,0,7.865113,7.518014,17.649611,17.567285,17.484959,93.726318,17.512700,17.551879,-22.321583,-2.196784,95.923102,,,-0.023438,,0.347099,17.492700,460,1
trading_data.db,2026-04-25T06:44:00.000Z,USDMXN_otc,L16,CALL,0.686000,86,17.340400,17.342100,17.330600,17.338300,1.376147,5.931740,6.206564,17.420413,17.380670,17.340927,45.732043,17.357483,17.376893,-11.169732,-1.511635,47.243678,15.789527,oversold,-0.033054,9.857788,-0.274824,17.340700,460,1
trading_data.db,2026-04-25T08:47:00.000Z,USDMXN_otc,L65,PUT,0.637800,323,17.328900,17.328900,17.316000,17.325300,90.344828,82.733032,56.429864,17.376915,17.328130,17.279345,56.307053,17.303317,17.317743,-8.330295,26.520344,29.786709,3.773982,oversold,0.470995,-78.959050,26.303167,17.345400,-500,0
trading_data.db,2026-04-25T11:55:00.000Z,USDMXN_otc,L41,PUT,0.760000,50,17.442900,17.443200,17.422800,17.422800,14.673913,31.477220,52.682664,17.478198,17.426555,17.374912,59.269699,17.451267,17.439229,6.902883,27.480092,31.789607,99.331069,overbought,0.463645,67.853849,-21.205444,17.415700,460,1
trading_data.db,2026-04-25T11:56:00.000Z,USDMXN_otc,L41,PUT,0.760000,50,17.423200,17.426900,17.404000,17.414400,13.636364,9.006118,31.181297,17.476090,17.428150,17.380210,55.014378,17.443367,17.440286,1.766572,19.617654,35.396724,96.663241,overbought,0.356591,87.657123,-22.175179,17.428700,-500,0
trading_data.db,2026-04-25T12:07:00.000Z,USDMXN_otc,L65,PUT,0.637800,323,17.424900,17.428700,17.415700,17.416100,72.074468,66.666667,33.333333,17.471263,17.427815,17.384367,49.860477,17.408833,17.415643,-3.910004,18.208225,31.652252,4.643517,oversold,0.365184,-62.023150,33.333333,17.416200,-500,0
trading_data.db,2026-04-25T12:08:00.000Z,USDMXN_otc,L65,PUT,0.637800,323,17.416600,17.423800,17.412800,17.417300,71.315789,90.651907,63.550636,17.470332,17.426850,17.383368,49.902222,17.410333,17.413814,-1.998960,19.471062,30.431161,5.528118,oversold,0.390184,-85.123789,27.101271,17.403100,460,1
